deactivated_id,name,correction_reason
6135,Hotel Grand Shambala,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Grand Shambala"" (id 4248) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6134,Unique Wild Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Unique Wild Resort"" (id 1833) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6107,staff house,"Consolidation round 2026-09-21: duplicate of destination ""staff house"" (id 5890) ~95 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6106,Narayani boys hostel,"Consolidation round 2026-09-21: duplicate of destination ""Narayani boys hostel"" (id 5904) ~36 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6097,Hotel 360 Khumai,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel 360 Khumai"" (id 3109) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6094,Global Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Global Hotel"" (id 1832) ~11 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6093,Soaltee Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Soaltee Hotel"" (id 3839) ~56 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6092,Lakshmi homestay,"Consolidation round 2026-09-21: duplicates Hotel record ""Lakshmi homestay"" (id 3106) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6091,Club ES Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Club ES Resort"" (id 3105) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6089,Mattikhan Mountain View Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Mattikhan Mountain View Resort"" (id 3104) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6083,Tibet Guest House & Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Tibet Guest House & Restaurant"" (id 4121) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6077,Nice View Guest House and Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Nice View Guest House and Restaurant"" (id 3102) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6073,Araniko Hostel,"Consolidation round 2026-09-21: duplicate of destination ""Araniko Hostel"" (id 5417) ~33 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6067,Everest Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Everest Hotel"" (id 3838) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6061,The Malla Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""The Malla Hotel"" (id 3836) ~3 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6055,Hotel International,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel International"" (id 3831) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6048,Hotel Bharatpur Town Residency,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Bharatpur Town Residency"" (id 1829) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6046,Hotel Kathmandu Base Camp,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Kathmandu Base Camp"" (id 3826) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6044,KGH Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""KGH Hotel"" (id 3825) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6040,Low Camp Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Low Camp Guest House"" (id 3101) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6033,Hotel Morning View,"Consolidation round 2026-09-21: duplicate of destination ""Hotel Morning View"" (id 6032) ~17 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6027,Hotel Saisa,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Saisa"" (id 3100) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6021,Jungle Villa Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Jungle Villa Resort"" (id 1827) ~8 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6012,Tashi Delek Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Tashi Delek Hotel"" (id 1937) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
6005,Sunakhada hotel,"Consolidation round 2026-09-21: duplicate of destination ""Suna Khada Hotel"" (id 2754) ~35 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5998,Kiwi Backpackers Hostel Pokhara,"Consolidation round 2026-09-21: duplicate of destination ""Kiwi Backpackers Hostel Pokhara"" (id 4017) ~6 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5994,Basanta Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Basanta Lodge"" (id 3060) ~13 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5993,Ghandruk Village Eco Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Ghandruk Village Eco Lodge"" (id 3099) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5988,Royal Empire Boutique Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Royal Empire Boutique Hotel"" (id 3823) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5982,Surya Heritage Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Surya Heritage Hotel"" (id 3821) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5981,Hotel Darwin,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Darwin"" (id 3820) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5977,Parbati Cave,"Consolidation round 2026-09-21: duplicate of destination ""Parbati Cave"" (id 2461) ~10 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5974,Home Stay,"Consolidation round 2026-09-21: duplicate of destination ""Home Stay"" (id 5874) ~25 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5965,Larke La Hotel & Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Larke La Hotel & Lodge"" (id 1936) ~20 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5964,Larke La Hotel & Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Larke La Hotel & Lodge"" (id 1936) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5963,Yak Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Yak Hotel"" (id 1935) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5958,Majestic Manaslu Cottages & Garden,"Consolidation round 2026-09-21: duplicate of destination ""Majestic Manaslu Cottages & Garden"" (id 5957) ~27 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5956,Nile Norling Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Nile Norling Guest House"" (id 1932) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5955,Milarepa Hotel & Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Milarepa Hotel & Lodge"" (id 1931) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5954,Chumling Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Chumling Guest House"" (id 1930) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5953,Chhumbeli Tibetan Yak Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Chhumbeli Tibetan Yak Hotel"" (id 1929) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5952,Kham-Sangbo Hotel & Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Kham-Sangbo Hotel & Lodge"" (id 1928) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5951,New Pewa Guesthouse,"Consolidation round 2026-09-21: duplicates Hotel record ""New Pewa Guesthouse"" (id 1927) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5947,Buddha Lodge,"Consolidation round 2026-09-21: duplicate of destination ""Buddha Lodge"" (id 378) ~72 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5938,Riverside Guesthouse & Waterfall Bar,"Consolidation round 2026-09-21: duplicates Hotel record ""Riverside Guesthouse & Waterfall Bar"" (id 3098) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5926,Hotel Gangar Manaslu & Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Gangar Manaslu & Restaurant"" (id 4120) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5925,Hotel Marshyangdi Mandala,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Marshyangdi Mandala"" (id 4119) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5922,Hotel Puspanjali Restaurant & Bar,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Puspanjali Restaurant & Bar"" (id 3974) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5921,New Chum Valley Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""New Chum Valley Guest House"" (id 1926) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5920,Royal Mountain Hotel & Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Royal Mountain Hotel & Lodge"" (id 1925) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5919,Laprak Gurung Bamboo Cottage & Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Laprak Gurung Bamboo Cottage & Restaurant"" (id 1924) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5918,Chum Nubri Ekle Bhatti Chisopi Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Chum Nubri Ekle Bhatti Chisopi Guest House"" (id 1923) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5910,Hotel Vajra,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Vajra"" (id 3818) ~7 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5905,Sherpa Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Sherpa Resort"" (id 3097) ~5 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5902,Lumbini girls hostel,"Consolidation round 2026-09-21: duplicate of destination ""Lumbini girls hostel"" (id 5901) ~38 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5896,Hotel Nobel Inn,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Nobel Inn"" (id 3096) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5895,Hotel Green Land,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Green Land"" (id 4946) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5894,Hotel Mayur,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Mayur"" (id 3095) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5890,staff house,"Consolidation round 2026-09-21: duplicate of destination ""staff house"" (id 5888) ~20 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5877,Hotel Darsan,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Darsan"" (id 3091) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5873,Himalayan Sherpa INN,"Consolidation round 2026-09-21: duplicates Hotel record ""Himalayan Sherpa INN"" (id 3817) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5860,CST Hotel and Party Palace,"Consolidation round 2026-09-21: duplicate of destination ""CST Hotel and Party Palace"" (id 2014) ~14 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5851,Hotel Sherpa Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Sherpa Restaurant"" (id 3090) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5850,Metro Inn Pvt Ltd,"Consolidation round 2026-09-21: duplicates Hotel record ""Metro Inn Pvt Ltd"" (id 3816) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5847,Green View Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Green View Guest House"" (id 2631) ~12 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5845,Hotel Peace Heven,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Peace Heven"" (id 3087) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5844,A One View Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""A One View Hotel"" (id 3086) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5840,Nishan Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Nishan Lodge"" (id 2572) ~18 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5838,Rupakot Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Rupakot Resort"" (id 3084) ~22 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5802,Nirvana Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Nirvana Hotel"" (id 3083) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5798,Maharaja Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Maharaja Hotel"" (id 3082) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5797,Hotel Lake Tower,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Lake Tower"" (id 3081) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5793,Riverside Hotel and Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Riverside Hotel and Lodge"" (id 1826) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5788,Archale Height Resort,"Consolidation round 2026-09-21: duplicates Hotel record ""Archale Height Resort"" (id 3080) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5785,Rock Garden Resort Pvt. Ltd,"Consolidation round 2026-09-21: duplicates Hotel record ""Rock Garden Resort Pvt. Ltd"" (id 3079) ~8 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5781,Hotel Manohara,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Manohara"" (id 1679) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5774,Hotel Indrasarobar and Lodge,"Consolidation round 2026-09-21: duplicate of destination ""Hotel Indra Sarobar and Lodge"" (id 1790) ~32 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5765,Hotel Pathibhara,"Consolidation round 2026-09-21: duplicate of destination ""Hotel Pathibhara"" (id 705) ~10 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5762,Hotel Kaberi Inn,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Kaberi Inn"" (id 3813) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5756,Kudbidanda Homestay,"Consolidation round 2026-09-21: duplicates Hotel record ""Kudbidanda Homestay"" (id 3078) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5751,Hotel Annapurna,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Annapurna"" (id 3076) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5750,Hotel Isharu Green Point,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Isharu Green Point"" (id 3075) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5749,Lali Gurans guesthouse & restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Lali Gurans guesthouse & restaurant"" (id 3074) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5748,Hillside lodge & restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Hillside lodge & restaurant"" (id 3073) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5746,High Camp guesthouse & restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""High Camp guesthouse & restaurant"" (id 3072) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5743,Tanting Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Tanting Guest House"" (id 3071) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5740,Silver Sky Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Silver Sky Hotel"" (id 3069) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5739,Gauri Shankar Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Gauri Shankar Guest House"" (id 3068) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5738,Snow Hill Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Snow Hill Lodge"" (id 1949) ~30 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5737,Sathi Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Sathi Guest House"" (id 3812) ~1 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5731,Khaptad Hotel,"Consolidation round 2026-09-21: duplicate of destination ""Khaptad Hotel"" (id 5730) ~14 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5719,Hotel Le Himalaya,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Le Himalaya"" (id 3811) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5711,Ever Green Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Ever Green Guest House"" (id 3065) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5710,Sangri-La Village Resort Pokhara,"Consolidation round 2026-09-21: duplicates Hotel record ""Sangri-La Village Resort Pokhara"" (id 3064) ~9 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5709,Nepal Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Nepal Guest House"" (id 3063) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5708,B & B Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""B & B Hotel"" (id 3062) ~3 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5707,Little Buddha Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Little Buddha Guest House"" (id 3061) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5699,Basanta Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Basanta Lodge"" (id 3060) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5698,Fire and Fishing Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Fire and Fishing Hotel"" (id 3059) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5692,Thakali Lodge & Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Thakali Lodge & Restaurant"" (id 3057) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5691,Laxmi Group Guest house,"Consolidation round 2026-09-21: duplicates Hotel record ""Laxmi Group Guest house"" (id 3004) ~67 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5690,Siwai Guest House & Restaurant,"Consolidation round 2026-09-21: duplicates Hotel record ""Siwai Guest House & Restaurant"" (id 3056) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5689,Unique Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Unique Guest House"" (id 3055) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5688,Indreni Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Indreni Guest House"" (id 3054) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5687,Sakura Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Sakura Hotel"" (id 3053) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5686,Kalabang Gharedi Homestay 2,"Consolidation round 2026-09-21: duplicates Hotel record ""Kalabang Gharedi Homestay 2"" (id 3052) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5685,Hotel Third Pole,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Third Pole"" (id 3051) ~2 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5681,Tashling Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Tashling Guest House"" (id 3048) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5678,Chautari Boutique Hotel,"Consolidation round 2026-09-21: duplicates Hotel record ""Chautari Boutique Hotel"" (id 3046) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5677,Crony Cottage Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Crony Cottage Lodge"" (id 3045) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5676,Trekking Lodge,"Consolidation round 2026-09-21: duplicates Hotel record ""Trekking Lodge"" (id 3044) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5675,Hotel Rita Inn,"Consolidation round 2026-09-21: duplicates Hotel record ""Hotel Rita Inn"" (id 3043) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5674,Sports Hotel Pokhara,"Consolidation round 2026-09-21: duplicates Hotel record ""Sports Hotel Pokhara"" (id 3042) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
5673,Florida Guest House,"Consolidation round 2026-09-21: duplicates Hotel record ""Florida Guest House"" (id 3041) ~0 m away.  Lodging records are managed in the Hotel table; this duplicate destination row was deactivated (data kept for audit)."
