Hotel Name,Destination,Address,Latitude,Longitude,Phone,Rating,Price Per Night,Currency,Booking Status,Booking URL
Green Park Chitwan,Chitwan,Sauraha Chitwan Nepal,27.5805,84.4935,+977-56-580555,4.6,110,USD,Available,https://www.greenparkchitwan.com
Kasara Chitwan,Chitwan,Patihani Chitwan Nepal,27.5660,84.4200,+977-56-590999,4.7,200,USD,Available,https://www.kasararesort.com
Jungle World Resort,Chitwan,Sauraha Chitwan Nepal,27.5810,84.4960,+977-56-580800,4.3,75,USD,Available,https://www.jungleworldresort.com
Lumbini Hokke Hotel,Lumbini,Lumbini Nepal,27.4690,83.2760,+977-71-580111,4.2,80,USD,Available,https://www.hokkehotel.com
Buddha Maya Garden Hotel,Lumbini,Lumbini Nepal,27.4700,83.2750,+977-71-580111,4.3,90,USD,Available,https://www.buddhamaya.com
Lumbini Bamboo Resort,Lumbini,Lumbini Nepal,27.4705,83.2735,+977-71-580222,4.0,55,USD,Available,https://www.lumbinibamboo.com
The Fort Resort,Nagarkot,Nagarkot Bhaktapur Nepal,27.7167,85.5200,+977-1-6680080,4.5,130,USD,Available,https://www.thefortresort.com
Club Himalaya,Nagarkot,Nagarkot Nepal,27.7170,85.5205,+977-1-4423900,4.4,120,USD,Available,https://www.clubhimalaya.com
Hotel Mystic Mountain,Nagarkot,Nagarkot Nepal,27.7150,85.5300,+977-1-4425000,4.6,150,USD,Available,https://www.mysticmountain.com.np
Nagarkot Resort,Nagarkot,Nagarkot Nepal,27.7160,85.5180,+977-1-6680011,4.1,70,USD,Available,https://www.nagarkotresort.com
Everest Manla Resort,Nagarkot,Nagarkot Nepal,27.7200,85.5250,+977-1-6680200,4.2,90,USD,Available,https://www.everestmanla.com
Hotel Country Villa,Nagarkot,Nagarkot Nepal,27.7165,85.5175,+977-1-6680120,4.3,100,USD,Available,https://www.hotelcountryvilla.com
Hotel Annapurna,Kathmandu,Durbar Marg Kathmandu Nepal,27.7110,85.3180,+977-1-4221711,4.3,130,USD,Available,https://www.hotelannapurna.com
Thamel Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7160,85.3120,+977-1-4701234,4.2,65,USD,Available,https://www.thamelboutiquehotel.com
Kantipur Temple House,Kathmandu,Chusyabahal Thamel Kathmandu Nepal,27.7145,85.3125,+977-1-4700679,4.5,100,USD,Available,https://www.kantipurtemplehouse.com
Hotel Marshyangdi,Kathmandu,Thamel Kathmandu Nepal,27.7150,85.3128,+977-1-4700245,4.0,60,USD,Available,https://www.hotelmarshyangdi.com
Hotel Arts Kathmandu,Kathmandu,Chaksibari Thamel Nepal,27.7155,85.3122,+977-1-4700440,4.1,75,USD,Available,https://www.hotelartskathmandu.com
Shangri-La Kathmandu,Kathmandu,Lazimpat Kathmandu Nepal,27.7188,85.3165,+977-1-4412999,4.5,145,USD,Available,https://www.shangri-la.com
Kumari Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7152,85.3124,+977-1-4700062,4.4,85,USD,Available,https://www.kumariboutiquehotel.com
Hotel Buddha,Kathmandu,Chaksibari Thamel Kathmandu Nepal,27.7147,85.3120,+977-1-4700930,4.2,60,USD,Available,https://www.hotelbuddha.com.np
Maya Manor Boutique Hotel,Kathmandu,PoBox 12345 Thamel Nepal,27.7162,85.3132,+977-1-4700455,4.3,75,USD,Available,https://www.mayamanor.com
Hotel Friends Home,Kathmandu,Chaksibari Thamel Nepal,27.7158,85.3127,+977-1-4700036,4.1,50,USD,Available,https://www.hotelfriendshome.com
Hotel Moonlight,Kathmandu,Paknajol Thamel Nepal,27.7180,85.3100,+977-1-4383568,4.3,70,USD,Available,https://www.hotelmoonlight.com.np
Hotel Marshyangdi Plaza,Kathmandu,Thamel Kathmandu Nepal,27.7153,85.3130,+977-1-4700389,4.0,55,USD,Available,https://www.marshyangdi.com
Hotel Manaslu,Kathmandu,Lazimpat Kathmandu Nepal,27.7190,85.3160,+977-1-4410071,4.2,95,USD,Available,https://www.hotelmanaslu.com
Shakya House,Lalitpur,Patan Durbar Square Lalitpur Nepal,27.6720,85.3250,+977-1-5539852,4.5,90,USD,Available,https://www.shakyahouse.com
Vivanta Kathmandu,Lalitpur,Jhamsikhel Lalitpur Nepal,27.6810,85.3140,+977-1-5970033,4.5,140,USD,Available,https://www.tajhotels.com
Himalayan Front Hotel,Pokhara,Sedibagar Pokhara Nepal,28.2260,83.9400,+977-61-465600,4.5,100,USD,Available,https://www.himalayanfront.com
Sarangkot Mountain Lodge,Pokhara,Sarangkot Pokhara Nepal,28.2470,83.9460,+977-61-621111,4.4,110,USD,Available,https://www.sarangkotmountainlodge.com
Raniban Retreat,Pokhara,World Peace Pagoda Pokhara Nepal,28.1970,83.9370,+977-61-460033,4.6,130,USD,Available,https://www.ranibanretreat.com
Pokhara Batika,Pokhara,Lakeside Pokhara Nepal,28.2110,83.9575,+977-61-463760,4.2,65,USD,Available,https://www.pokharabatika.com
Hotel Adam,Pokhara,Lakeside Pokhara Nepal,28.2114,83.9585,+977-61-465422,4.3,70,USD,Available,https://www.hoteladam.com.np
Hotel Orchid,Pokhara,Lakeside Pokhara Nepal,28.2105,83.9578,+977-61-464700,4.1,60,USD,Available,https://www.hotelorchidpokhara.com
Hotel Splendid View,Pokhara,Lakeside Pokhara Nepal,28.2130,83.9570,+977-61-466123,4.4,80,USD,Available,https://www.splendidviewpokhara.com
Glacier Hotel & Spa,Pokhara,Lakeside Pokhara Nepal,28.2100,83.9584,+977-61-462999,4.3,90,USD,Available,https://www.glacierhotelpokhara.com
Hotel City Inn,Pokhara,Lakeside Pokhara Nepal,28.2108,83.9594,+977-61-462222,4.0,50,USD,Available,https://www.cityinnpokhara.com
Hotel Crystal Palace Deluxe,Pokhara,Lakeside Pokhara Nepal,28.2120,83.9568,+977-61-465456,4.2,75,USD,Available,https://www.crystalpalacepokhara.com
Chitwan Paradise Hotel,Chitwan,Sauraha Chitwan Nepal,27.5815,84.4955,+977-56-580300,4.1,65,USD,Available,https://www.chitwanparadisehotel.com
Parkland Resort,Chitwan,Sauraha Chitwan Nepal,27.5825,84.4965,+977-56-580400,4.4,95,USD,Available,https://www.parklandchitwan.com
Hotel Jungle Crown,Chitwan,Sauraha Chitwan Nepal,27.5800,84.4940,+977-56-580700,4.5,100,USD,Available,https://www.junglecrown.com
Rhino Lodge & Hotel,Chitwan,Sauraha Chitwan Nepal,27.5820,84.4970,+977-56-580600,4.0,55,USD,Available,https://www.rhinolodge.com
Sauraha Resort,Chitwan,Sauraha Nepal,27.5808,84.4938,+977-56-580888,4.2,70,USD,Available,https://www.sauraharesort.com
Buddha Jungle Resort,Chitwan,Sauraha Nepal,27.5812,84.4952,+977-56-580909,4.3,80,USD,Available,https://www.buddhajungleresort.com
Lumbini Buddha Garden Resort,Lumbini,Lumbini Nepal,27.4702,83.2765,+977-71-580333,4.4,75,USD,Available,https://www.lumbinibuddhagarden.com
Lumbini Village Lodge,Lumbini,Lumbini Nepal,27.4698,83.2770,+977-71-580444,4.0,45,USD,Available,https://www.lumbinivillagelodge.com
Hotel Peace Palace,Lumbini,Lumbini Nepal,27.4695,83.2745,+977-71-580555,4.1,50,USD,Available,https://www.hotelpeacepalace.com
Pawan International Hotel,Lumbini,Bhairahawa Nepal,27.5050,83.4530,+977-71-520111,4.0,60,USD,Available,https://www.pawaninternational.com
Tiger Palace Resort,Bhairahawa,Rupandehi Nepal,27.5200,83.4500,+977-71-590111,4.6,160,USD,Available,https://www.tigerpalaceresort.com
Dreamland Gold Resort,Bhairahawa,Rupandehi Nepal,27.5100,83.4600,+977-71-590222,4.2,85,USD,Available,https://www.dreamlandgold.com
Nagarkot Sunshine Hotel,Nagarkot,Nagarkot Nepal,27.7158,85.5210,+977-1-6680222,4.1,65,USD,Available,https://www.nagarkotsunshine.com
Hotel At The End Of The Universe,Nagarkot,Nagarkot Nepal,27.7175,85.5235,+977-1-6680101,4.4,90,USD,Available,https://www.attheendoftheuniverse.com
Peaceful Cottage & Cafe,Nagarkot,Nagarkot Nepal,27.7172,85.5202,+977-1-6680055,4.2,70,USD,Available,https://www.peacefulcottage.com
Hotel View Point,Nagarkot,Nagarkot Nepal,27.7168,85.5198,+977-1-6680300,4.3,85,USD,Available,https://www.hotelviewpointnagarkot.com
Everest Window View Hotel,Nagarkot,Nagarkot Nepal,27.7180,85.5220,+977-1-6680400,4.0,60,USD,Available,https://www.everestwindowview.com
Hotel Country Villa Annex,Nagarkot,Nagarkot Nepal,27.7162,85.5170,+977-1-6680121,4.2,95,USD,Available,https://www.hotelcountryvilla.com
Summit Residency,Kathmandu,Gairidhara Kathmandu Nepal,27.7140,85.3200,+977-1-4443333,4.1,70,USD,Available,https://www.summitresidency.com
Hotel Le Himalaya,Kathmandu,Lazimpat Kathmandu Nepal,27.7200,85.3168,+977-1-4004000,4.3,100,USD,Available,https://www.hotellehimalaya.com
Grand Hotel,Kathmandu,Solu Marg Kathmandu Nepal,27.6990,85.2910,+977-1-4282482,4.2,90,USD,Available,https://www.grandhotelnepal.com
Airport Hotel Kathmandu,Kathmandu,Sinamangal Kathmandu Nepal,27.6965,85.3550,+977-1-4470400,4.0,75,USD,Available,https://www.airporthotelnepal.com
Hotel Meridian Suite,Kathmandu,Sinamangal Kathmandu Nepal,27.6968,85.3540,+977-1-4111111,4.1,65,USD,Available,https://www.meridiansuite.com
The Everest Hotel,Kathmandu,New Baneshwor Kathmandu Nepal,27.6905,85.3325,+977-1-4780100,4.4,120,USD,Available,https://www.theeveresthotel.com.np
Shambala Heritage,Kathmandu,Lazimpat Kathmandu Nepal,27.7195,85.3165,+977-1-4442222,4.3,85,USD,Available,https://www.shambalaheritage.com
Hotel Ambassador Kathmandu,Kathmandu,Lazimpat Kathmandu Nepal,27.7200,85.3180,+977-1-4424900,4.2,90,USD,Available,https://www.hotelambassador.com.np
Royal Penguin Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7155,85.3125,+977-1-4701355,4.3,75,USD,Available,https://www.royalpenguin.com.np
Dalai-La Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7160,85.3130,+977-1-4701532,4.5,110,USD,Available,https://www.dalailaboutiquehotel.com
Hotel Arts Kathmandu,Kathmandu,Thamel Kathmandu Nepal,27.7157,85.3118,+977-1-4700440,4.1,70,USD,Available,https://www.hotelartskathmandu.com
Hotel Nepalaya,Kathmandu,Thamel Kathmandu Nepal,27.7150,85.3115,+977-1-4700929,4.0,55,USD,Available,https://www.hotelnepalaya.com
Hotel Access Nepal,Kathmandu,Thamel Kathmandu Nepal,27.7149,85.3129,+977-1-4700567,4.1,50,USD,Available,https://www.hotelaccessnepal.com
Hotel Family Home,Kathmandu,Thamel Kathmandu Nepal,27.7163,85.3124,+977-1-4700987,4.0,45,USD,Available,https://www.hotelfamilyhome.com
Hotel Holy Himalaya,Kathmandu,Kamaladi Kathmandu Nepal,27.7105,85.3205,+977-1-4221478,4.2,80,USD,Available,https://www.holyhimalaya.com
Kantipur Inn,Kathmandu,Thamel Kathmandu Nepal,27.7154,85.3135,+977-1-4700500,4.0,60,USD,Available,https://www.kantipurinn.com
Hotel Himalaya House,Kathmandu,Thamel Kathmandu Nepal,27.7148,85.3126,+977-1-4700555,4.1,65,USD,Available,https://www.himalayahouse.com
Hotel Pleasure Home,Kathmandu,Thamel Kathmandu Nepal,27.7157,85.3131,+977-1-4700666,4.0,55,USD,Available,https://www.hotelpleasurehome.com
Hotel Blue Horizon,Kathmandu,Kantipath Kathmandu Nepal,27.7130,85.3190,+977-1-4222040,4.1,70,USD,Available,https://www.hotelbluehorizon.com
Hotel Tibet International,Kathmandu,Boudha Kathmandu Nepal,27.7218,85.3600,+977-1-4488181,4.4,120,USD,Available,https://www.hoteltibetintl.com
Pema Boutique Hotel,Kathmandu,Boudha Kathmandu Nepal,27.7225,85.3590,+977-1-5911111,4.5,95,USD,Available,https://www.pemahotel.com
Hotel Vajra,Kathmandu,Swayambhu Kathmandu Nepal,27.7150,85.2900,+977-1-4271545,4.3,100,USD,Available,https://www.hotelvajra.com
Swayambhu Peace Zone Hotel,Kathmandu,Swayambhu Kathmandu Nepal,27.7140,85.2880,+977-1-4281111,4.0,60,USD,Available,https://www.peacezonehotel.com
Hotel Marshyangdi View,Kathmandu,Thamel Kathmandu Nepal,27.7152,85.3133,+977-1-4700245,4.0,65,USD,Available,https://www.hotelmarshyangdi.com
The Life Story Guest House,Kathmandu,Patan Lalitpur Nepal,27.6730,85.3240,+977-1-5533000,4.4,70,USD,Available,https://www.lifestoryguesthouse.com
The Begnas Lake Resort,Pokhara,Begnas Lake Pokhara Nepal,28.1600,84.0900,+977-61-560123,4.6,140,USD,Available,https://www.begnaslakeresort.com
Fish Tail Lodge Heritage,Pokhara,Lakeside Pokhara Nepal,28.2140,83.9475,+977-61-465071,4.5,135,USD,Available,https://www.fishtail-lodge.com
Hotel Crystal Palace Inn,Pokhara,Lakeside Pokhara Nepal,28.2121,83.9569,+977-61-465456,4.1,65,USD,Available,https://www.crystalpalacepokhara.com
Hotel Trekkers Inn,Pokhara,Lakeside Pokhara Nepal,28.2112,83.9587,+977-61-464600,4.2,55,USD,Available,https://www.trekkersinn.com
Hotel Lake Shore,Pokhara,Lakeside Pokhara Nepal,28.2104,83.9572,+977-61-465333,4.4,90,USD,Available,https://www.lakeshorepokhara.com
Hotel Point,Pokhara,Lakeside Pokhara Nepal,28.2110,83.9578,+977-61-465222,4.0,50,USD,Available,https://www.hotelpointpokhara.com
Hotel Snow Peak,Pokhara,Lakeside Pokhara Nepal,28.2120,83.9580,+977-61-463333,4.1,60,USD,Available,https://www.snowspeakpokhara.com
Hotel Golden Inn,Pokhara,Lakeside Pokhara Nepal,28.2109,83.9591,+977-61-462111,4.0,55,USD,Available,https://www.goldenninnpokhara.com
Hotel Orchid Garden,Pokhara,Lakeside Pokhara Nepal,28.2115,83.9566,+977-61-464444,4.2,75,USD,Available,https://www.orchidgardenpokhara.com
Lake View Resort,Pokhara,Lakeside Pokhara Nepal,28.2125,83.9585,+977-61-465888,4.3,85,USD,Available,https://www.lakeviewpokhara.com
Chitwan Safari Camp,Chitwan,Sauraha Chitwan Nepal,27.5818,84.4962,+977-56-580700,4.3,90,USD,Available,https://www.chitwansafaricamp.com
River Bank Jungle Resort,Chitwan,Sauraha Nepal,27.5795,84.4925,+977-56-580755,4.2,80,USD,Available,https://www.riverbankjungle.com
Wildlife Adventure Resort,Chitwan,Sauraha Nepal,27.5808,84.4948,+977-56-580777,4.4,100,USD,Available,https://www.wildlifeadventure.com
Jungle Safari Resort,Chitwan,Sauraha Nepal,27.5810,84.4950,+977-56-580888,4.1,70,USD,Available,https://www.junglesafariresort.com
Chitwan Village Resort,Chitwan,Sauraha Nepal,27.5822,84.4968,+977-56-580999,4.2,65,USD,Available,https://www.chitwanvillageresort.com
Sauraha Central Park Resort,Chitwan,Sauraha Nepal,27.5805,84.4932,+977-56-580111,4.3,85,USD,Available,https://www.centralparkresort.com
Chitwan Riverside Resort,Chitwan,Sauraha Nepal,27.5798,84.4918,+977-56-580222,4.1,75,USD,Available,https://www.chitwanriverside.com
Jungle Wildlife Camp,Chitwan,Sauraha Nepal,27.5817,84.4964,+977-56-580333,4.0,60,USD,Available,https://www.junglewildlifecamp.com
Elephant Safari Lodge,Chitwan,Sauraha Nepal,27.5820,84.4945,+977-56-580444,4.2,80,USD,Available,https://www.elephantsafarilodge.com
Green Mansions Jungle Resort,Chitwan,Sauraha Nepal,27.5800,84.4930,+977-56-580555,4.4,110,USD,Available,https://www.greenmansions.com
Hotel Himalayan Horizon,Dhulikhel,Dhulikhel Kavre Nepal,27.6220,85.5430,+977-11-490500,4.3,95,USD,Available,https://www.himalayanhorizon.com
Dhulikhel Lodge Resort,Dhulikhel,Dhulikhel Kavre Nepal,27.6250,85.5400,+977-11-490700,4.2,80,USD,Available,https://www.dhulikhellodge.com
Dhulikhel Mountain Resort,Dhulikhel,Dhulikhel Nepal,27.6205,85.5450,+977-11-490800,4.4,120,USD,Available,https://www.dhulikhelmountainresort.com
Mirabel Resort,Dhulikhel,Dhulikhel Nepal,27.6215,85.5425,+977-11-490900,4.1,75,USD,Available,https://www.mirabelresort.com
Gaia Holiday Home,Dhulikhel,Dhulikhel Nepal,27.6240,85.5410,+977-11-491000,4.3,70,USD,Available,https://www.gaiaholidayhome.com
Namo Buddha Resort,Dhulikhel,Namo Buddha Kavre Nepal,27.5680,85.6200,+977-11-401200,4.6,130,USD,Available,https://www.namobuddharesort.com
Himalayan Drishya Resort,Dhulikhel,Dhulikhel Nepal,27.6200,85.5455,+977-11-490600,4.5,110,USD,Available,https://www.himalayandrishya.com
The Last Resort,Bhotekoshi,Bhotekoshi Nepal,27.9500,85.9500,+977-1-4700525,4.5,150,USD,Available,https://www.thelastresort.com
Borderlands Eco Adventure Resort,Sindhupalchok,Bhotekoshi Nepal,27.9505,85.9600,+977-1-4433999,4.4,120,USD,Available,https://www.borderland-resorts.com
Summit River Lodge,Bhotekoshi,Balephi Nepal,27.8500,85.7500,+977-1-4425000,4.2,90,USD,Available,https://www.summitriverlodge.com
Hotel Everest View,Syangboche,Everest Region Nepal,27.9600,86.8200,+977-38-540026,4.6,250,USD,Available,https://www.hoteleverestview.com
Yeti Mountain Home,Lukla,Lukla Solukhumbu Nepal,27.6870,86.7280,+977-38-540200,4.4,180,USD,Available,https://www.yetimountainhome.com
Mountain Lodges of Nepal,Namche Bazaar,Solukhumbu Nepal,27.8050,86.7100,+977-1-4425000,4.7,220,USD,Available,https://www.mountainlodgesofnepal.com
Hotel Sherwi Khangba,Namche Bazaar,Solukhumbu Nepal,27.8055,86.7130,+977-38-540500,4.3,100,USD,Available,https://www.sherwikhangba.com
Khumbu Resort,Namche Bazaar,Solukhumbu Nepal,27.8060,86.7120,+977-38-540600,4.2,90,USD,Available,https://www.khumburesort.com
Hotel Peaceful Cottage,Bandipur,Bandipur Tanahun Nepal,27.9360,84.4060,+977-65-560400,4.4,85,USD,Available,https://www.peacefulcottagebandipur.com
The Old Inn,Bandipur,Bandipur Nepal,27.9370,84.4065,+977-65-560500,4.5,120,USD,Available,https://www.theoldinnbandipur.com
Bandipur Mountain Resort,Bandipur,Bandipur Nepal,27.9380,84.4070,+977-65-560600,4.2,90,USD,Available,https://www.bandipurresort.com
Gaun Ghar,Bandipur,Bandipur Nepal,27.9365,84.4068,+977-65-560700,4.6,130,USD,Available,https://www.gaunghar.com
Bandipur Chhen,Bandipur,Bandipur Nepal,27.9375,84.4062,+977-65-560800,4.3,75,USD,Available,https://www.bandipurchhen.com
Hotel Riverside,Besisahar,Lamjung Nepal,28.2320,84.3720,+977-66-520400,4.0,60,USD,Available,https://www.riversidebesisahar.com
Lamjung Himalaya View,Lamjung,Lamjung Nepal,28.2400,84.3800,+977-66-520500,4.2,80,USD,Available,https://www.himalayaviewlamjung.com
Manaslu Guest House,Gorkha,Gorkha Nepal,28.0000,84.6330,+977-64-420500,4.1,65,USD,Available,https://www.mansaluguesthouse.com
Gorkha Gaun Resort,Gorkha,Gorkha Nepal,28.0020,84.6350,+977-64-420600,4.3,90,USD,Available,https://www.gorkhagaunresort.com
Barpak Village Resort,Gorkha,Barpak Nepal,28.2000,84.7500,+977-64-430700,4.5,100,USD,Available,https://www.barpakresort.com
Royal Mustang Resort,Mustang,Jomsom Mustang Nepal,28.7800,83.7300,+977-69-440500,4.4,140,USD,Available,https://www.royalmustangresort.com
Hotel Om's Home,Mustang,Jomsom Nepal,28.7805,83.7310,+977-69-440600,4.1,75,USD,Available,https://www.omshome.com
Mustang Eco Resort,Mustang,Muktinath Nepal,28.8200,83.8700,+977-69-440700,4.3,110,USD,Available,https://www.mustangecoresort.com
Muktinath Hotel,Muktinath,Muktinath Mustang Nepal,28.8205,83.8705,+977-69-440800,4.0,70,USD,Available,https://www.muktinathhotel.com
Jomsom Mountain Resort,Mustang,Jomsom Nepal,28.7802,83.7298,+977-69-440900,4.2,95,USD,Available,https://www.jomsomresort.com
Hotel Grand Shambala,Muktinath,Muktinath Nepal,28.8190,83.8710,+977-69-441000,4.3,100,USD,Available,https://www.grandshambala.com
Hotel Annapurna View,Dhulikhel,Dhulikhel Nepal,27.6230,85.5440,+977-11-490300,4.2,85,USD,Available,https://www.annapurnaviewhotel.com
Panauti Community Homestay,Panauti,Panauti Kavre Nepal,27.5840,85.5120,+977-11-440500,4.4,60,USD,Available,https://www.panautihomestay.com
Panauti Boutique Hotel,Panauti,Panauti Nepal,27.5835,85.5130,+977-11-440600,4.1,70,USD,Available,https://www.panautiboutique.com
Indreni Suites,Kathmandu,Baneshwor Kathmandu Nepal,27.6900,85.3300,+977-1-4787000,4.2,80,USD,Available,https://www.indrenisuites.com
Akama Hotel,Kathmandu,Dhumbarahi Kathmandu Nepal,27.7180,85.3500,+977-1-5910000,4.4,100,USD,Available,https://www.akamahotel.com
Aloft Kathmandu Thamel,Kathmandu,Thamel Kathmandu Nepal,27.7148,85.3121,+977-1-5252000,4.5,130,USD,Available,https://www.marriott.com
Dusit Thani Himalayan Resort,Dhulikhel,Dhulikhel Nepal,27.6225,85.5455,+977-11-490000,4.6,180,USD,Available,https://www.dusit.com
Soaltee Westend Resort,Chitwan,Chitwan Nepal,27.5600,84.4200,+977-56-590500,4.5,150,USD,Available,https://www.soaltee.com
Barahi Jungle Lodge Extension,Chitwan,Chitwan Nepal,27.6105,84.4505,+977-56-580500,4.7,180,USD,Available,https://www.barahijunglelodge.com
Lumbini Palace Resort,Lumbini,Lumbini Nepal,27.4700,83.2775,+977-71-580700,4.3,95,USD,Available,https://www.lumbinipalace.com
Hotel Moonlight View,Kathmandu,Thamel Kathmandu Nepal,27.7170,85.3118,+977-1-4383568,4.2,75,USD,Available,https://www.hotelmoonlight.com.np
Kathmandu Eco Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7165,85.3120,+977-1-4700632,4.4,65,USD,Available,https://www.kathmanduecohotel.com
Taleju Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7160,85.3135,+977-1-4701234,4.3,70,USD,Available,https://www.talejuboutiquehotel.com
Hotel Jampa,Kathmandu,Thamel Kathmandu Nepal,27.7145,85.3123,+977-1-5352900,4.5,80,USD,Available,https://www.hoteljampa.com
Arushi Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7152,85.3119,+977-1-4700999,4.4,85,USD,Available,https://www.arushihotel.com
Hotel Mums Home,Kathmandu,Thamel Kathmandu Nepal,27.7158,85.3128,+977-1-4700400,4.2,55,USD,Available,https://www.mumshome.com
Hotel Osho Home,Kathmandu,Thamel Kathmandu Nepal,27.7154,85.3132,+977-1-4700890,4.1,50,USD,Available,https://www.oshohome.com
Hotel Ganesh Himal,Kathmandu,Thamel Kathmandu Nepal,27.7148,85.3105,+977-1-4261265,4.2,60,USD,Available,https://www.ganeshhimalhotel.com
Hotel Ambassador,Kathmandu,Lazimpat Kathmandu Nepal,27.7202,85.3178,+977-1-4424900,4.3,95,USD,Available,https://www.hotelambassador.com.np
Hotel Vaishali,Kathmandu,Thamel Kathmandu Nepal,27.7156,85.3129,+977-1-4700048,4.1,75,USD,Available,https://www.hotelvaishali.com
Hotel Annapurna View Point,Pokhara,Sarangkot Pokhara Nepal,28.2480,83.9470,+977-61-620300,4.4,120,USD,Available,https://www.annapurnaviewpoint.com
