hotel_name,destination,address,latitude,longitude,phone,rating,price_per_night,currency,booking_status,booking_url,data_quality_score,price_category
Waterfront Resort,Pokhara,Lakeside Pokhara Nepal,28.212,83.945,+97761465162,4.4,95,USD,Available,https://www.waterfrontpokhara.com,100.0,Mid Range
The Pavilions Himalayas,Pokhara,Pumdi Bhumdi Pokhara Nepal,28.145,83.93,+97761621000,4.8,220,USD,Available,https://www.pavilionshimalayas.com,100.0,Luxury
Hotel Sarowar,Pokhara,Lakeside Pokhara Nepal,28.2102,83.9581,+97761590123,4.3,85,USD,Available,https://www.hotelsarowar.com,100.0,Mid Range
Bar Peepal Resort,Pokhara,Lakeside Pokhara Nepal,28.2118,83.9557,+97761467800,4.6,110,USD,Available,https://www.barpeepalresort.com,100.0,Mid Range
Soaltee Kathmandu,Kathmandu,Tahachal Kathmandu Nepal,27.7,85.292,+97714273999,4.5,140,USD,Available,https://www.soaltee.com,100.0,Mid Range
Aakash By The Lake,Pokhara,Lakeside Pokhara Nepal,28.2105,83.956,+97761462999,4.1,60,USD,Available,https://www.aakashbythelake.com,100.0,Budget
Hotel Pokhara Choice Inn,Pokhara,Lakeside Pokhara Nepal,28.2108,83.9592,+97761465900,4.2,65,USD,Available,https://www.pokharachoiceinn.com,100.0,Budget
Hotel Middle Path,Pokhara,Lakeside Pokhara Nepal,28.21,83.958,+97761465522,4.4,70,USD,Available,https://www.hotelmiddlepath.com,100.0,Budget
Hotel Crystal Palace,Pokhara,Lakeside Pokhara Nepal,28.2122,83.957,+97761465456,4.1,55,USD,Available,https://www.crystalpalacepokhara.com,100.0,Budget
Tigerland Safari Resort,Chitwan,Sauraha Chitwan Nepal,27.582,84.495,+97756580123,4.5,120,USD,Available,https://www.tigerland.com.np,100.0,Mid Range
Barahi Jungle Lodge,Chitwan,Andrauli Chitwan Nepal,27.61,84.45,+97756580500,4.7,180,USD,Available,https://www.barahijunglelodge.com,100.0,Luxury
Green Park Chitwan,Chitwan,Sauraha Chitwan Nepal,27.5805,84.4935,+97756580555,4.6,110,USD,Available,https://www.greenparkchitwan.com,100.0,Mid Range
Kasara Chitwan,Chitwan,Patihani Chitwan Nepal,27.566,84.42,+97756590999,4.7,200,USD,Available,https://www.kasararesort.com,100.0,Luxury
Jungle World Resort,Chitwan,Sauraha Chitwan Nepal,27.581,84.496,+97756580800,4.3,75,USD,Available,https://www.jungleworldresort.com,100.0,Budget
Lumbini Hokke Hotel,Lumbini,Lumbini Nepal,27.469,83.276,+97771580111,4.2,80,USD,Available,https://www.hokkehotel.com,100.0,Mid Range
Buddha Maya Garden Hotel,Lumbini,Lumbini Nepal,27.47,83.275,+97771580111,4.3,90,USD,Available,https://www.buddhamaya.com,100.0,Mid Range
Lumbini Bamboo Resort,Lumbini,Lumbini Nepal,27.4705,83.2735,+97771580222,4.0,55,USD,Available,https://www.lumbinibamboo.com,100.0,Budget
The Fort Resort,Nagarkot,Nagarkot Bhaktapur Nepal,27.7167,85.52,+97716680080,4.5,130,USD,Available,https://www.thefortresort.com,100.0,Mid Range
Club Himalaya,Nagarkot,Nagarkot Nepal,27.717,85.5205,+97714423900,4.4,120,USD,Available,https://www.clubhimalaya.com,100.0,Mid Range
Hotel Mystic Mountain,Nagarkot,Nagarkot Nepal,27.715,85.53,+97714425000,4.6,150,USD,Available,https://www.mysticmountain.com.np,100.0,Luxury
Nagarkot Resort,Nagarkot,Nagarkot Nepal,27.716,85.518,+97716680011,4.1,70,USD,Available,https://www.nagarkotresort.com,100.0,Budget
Everest Manla Resort,Nagarkot,Nagarkot Nepal,27.72,85.525,+97716680200,4.2,90,USD,Available,https://www.everestmanla.com,100.0,Mid Range
Hotel Country Villa,Nagarkot,Nagarkot Nepal,27.7165,85.5175,+97716680120,4.3,100,USD,Available,https://www.hotelcountryvilla.com,100.0,Mid Range
Hotel Annapurna,Kathmandu,Durbar Marg Kathmandu Nepal,27.711,85.318,+97714221711,4.3,130,USD,Available,https://www.hotelannapurna.com,100.0,Mid Range
Thamel Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.716,85.312,+97714701234,4.2,65,USD,Available,https://www.thamelboutiquehotel.com,100.0,Budget
Kantipur Temple House,Kathmandu,Chusyabahal Thamel Kathmandu Nepal,27.7145,85.3125,+97714700679,4.5,100,USD,Available,https://www.kantipurtemplehouse.com,100.0,Mid Range
Hotel Marshyangdi,Kathmandu,Thamel Kathmandu Nepal,27.715,85.3128,+97714700245,4.0,60,USD,Available,https://www.hotelmarshyangdi.com,100.0,Budget
Hotel Arts Kathmandu,Kathmandu,Chaksibari Thamel Nepal,27.7155,85.3122,+97714700440,4.1,75,USD,Available,https://www.hotelartskathmandu.com,100.0,Budget
Shangri-La Kathmandu,Kathmandu,Lazimpat Kathmandu Nepal,27.7188,85.3165,+97714412999,4.5,145,USD,Available,https://www.shangri-la.com,100.0,Mid Range
Kumari Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7152,85.3124,+97714700062,4.4,85,USD,Available,https://www.kumariboutiquehotel.com,100.0,Mid Range
Hotel Buddha,Kathmandu,Chaksibari Thamel Kathmandu Nepal,27.7147,85.312,+97714700930,4.2,60,USD,Available,https://www.hotelbuddha.com.np,100.0,Budget
Maya Manor Boutique Hotel,Kathmandu,Pobox 12345 Thamel Nepal,27.7162,85.3132,+97714700455,4.3,75,USD,Available,https://www.mayamanor.com,100.0,Budget
Hotel Friends Home,Kathmandu,Chaksibari Thamel Nepal,27.7158,85.3127,+97714700036,4.1,50,USD,Available,https://www.hotelfriendshome.com,100.0,Budget
Hotel Moonlight,Kathmandu,Paknajol Thamel Nepal,27.718,85.31,+97714383568,4.3,70,USD,Available,https://www.hotelmoonlight.com.np,100.0,Budget
Hotel Marshyangdi Plaza,Kathmandu,Thamel Kathmandu Nepal,27.7153,85.313,+97714700389,4.0,55,USD,Available,https://www.marshyangdi.com,100.0,Budget
Hotel Manaslu,Kathmandu,Lazimpat Kathmandu Nepal,27.719,85.316,+97714410071,4.2,95,USD,Available,https://www.hotelmanaslu.com,100.0,Mid Range
Shakya House,Lalitpur,Patan Durbar Square Lalitpur Nepal,27.672,85.325,+97715539852,4.5,90,USD,Available,https://www.shakyahouse.com,100.0,Mid Range
Vivanta Kathmandu,Lalitpur,Jhamsikhel Lalitpur Nepal,27.681,85.314,+97715970033,4.5,140,USD,Available,https://www.tajhotels.com,100.0,Mid Range
Himalayan Front Hotel,Pokhara,Sedibagar Pokhara Nepal,28.226,83.94,+97761465600,4.5,100,USD,Available,https://www.himalayanfront.com,100.0,Mid Range
Sarangkot Mountain Lodge,Pokhara,Sarangkot Pokhara Nepal,28.247,83.946,+97761621111,4.4,110,USD,Available,https://www.sarangkotmountainlodge.com,100.0,Mid Range
Raniban Retreat,Pokhara,World Peace Pagoda Pokhara Nepal,28.197,83.937,+97761460033,4.6,130,USD,Available,https://www.ranibanretreat.com,100.0,Mid Range
Pokhara Batika,Pokhara,Lakeside Pokhara Nepal,28.211,83.9575,+97761463760,4.2,65,USD,Available,https://www.pokharabatika.com,100.0,Budget
Hotel Adam,Pokhara,Lakeside Pokhara Nepal,28.2114,83.9585,+97761465422,4.3,70,USD,Available,https://www.hoteladam.com.np,100.0,Budget
Hotel Orchid,Pokhara,Lakeside Pokhara Nepal,28.2105,83.9578,+97761464700,4.1,60,USD,Available,https://www.hotelorchidpokhara.com,100.0,Budget
Hotel Splendid View,Pokhara,Lakeside Pokhara Nepal,28.213,83.957,+97761466123,4.4,80,USD,Available,https://www.splendidviewpokhara.com,100.0,Mid Range
Glacier Hotel & Spa,Pokhara,Lakeside Pokhara Nepal,28.21,83.9584,+97761462999,4.3,90,USD,Available,https://www.glacierhotelpokhara.com,100.0,Mid Range
Hotel City Inn,Pokhara,Lakeside Pokhara Nepal,28.2108,83.9594,+97761462222,4.0,50,USD,Available,https://www.cityinnpokhara.com,100.0,Budget
Hotel Crystal Palace Deluxe,Pokhara,Lakeside Pokhara Nepal,28.212,83.9568,+97761465456,4.2,75,USD,Available,https://www.crystalpalacepokhara.com,100.0,Budget
Chitwan Paradise Hotel,Chitwan,Sauraha Chitwan Nepal,27.5815,84.4955,+97756580300,4.1,65,USD,Available,https://www.chitwanparadisehotel.com,100.0,Budget
Parkland Resort,Chitwan,Sauraha Chitwan Nepal,27.5825,84.4965,+97756580400,4.4,95,USD,Available,https://www.parklandchitwan.com,100.0,Mid Range
Hotel Jungle Crown,Chitwan,Sauraha Chitwan Nepal,27.58,84.494,+97756580700,4.5,100,USD,Available,https://www.junglecrown.com,100.0,Mid Range
Rhino Lodge & Hotel,Chitwan,Sauraha Chitwan Nepal,27.582,84.497,+97756580600,4.0,55,USD,Available,https://www.rhinolodge.com,100.0,Budget
Sauraha Resort,Chitwan,Sauraha Nepal,27.5808,84.4938,+97756580888,4.2,70,USD,Available,https://www.sauraharesort.com,100.0,Budget
Buddha Jungle Resort,Chitwan,Sauraha Nepal,27.5812,84.4952,+97756580909,4.3,80,USD,Available,https://www.buddhajungleresort.com,100.0,Mid Range
Lumbini Buddha Garden Resort,Lumbini,Lumbini Nepal,27.4702,83.2765,+97771580333,4.4,75,USD,Available,https://www.lumbinibuddhagarden.com,100.0,Budget
Lumbini Village Lodge,Lumbini,Lumbini Nepal,27.4698,83.277,+97771580444,4.0,45,USD,Available,https://www.lumbinivillagelodge.com,100.0,Budget
Hotel Peace Palace,Lumbini,Lumbini Nepal,27.4695,83.2745,+97771580555,4.1,50,USD,Available,https://www.hotelpeacepalace.com,100.0,Budget
Pawan International Hotel,Lumbini,Bhairahawa Nepal,27.505,83.453,+97771520111,4.0,60,USD,Available,https://www.pawaninternational.com,100.0,Budget
Tiger Palace Resort,Bhairahawa,Rupandehi Nepal,27.52,83.45,+97771590111,4.6,160,USD,Available,https://www.tigerpalaceresort.com,100.0,Luxury
Dreamland Gold Resort,Bhairahawa,Rupandehi Nepal,27.51,83.46,+97771590222,4.2,85,USD,Available,https://www.dreamlandgold.com,100.0,Mid Range
Nagarkot Sunshine Hotel,Nagarkot,Nagarkot Nepal,27.7158,85.521,+97716680222,4.1,65,USD,Available,https://www.nagarkotsunshine.com,100.0,Budget
Hotel At The End Of The Universe,Nagarkot,Nagarkot Nepal,27.7175,85.5235,+97716680101,4.4,90,USD,Available,https://www.attheendoftheuniverse.com,100.0,Mid Range
Peaceful Cottage & Cafe,Nagarkot,Nagarkot Nepal,27.7172,85.5202,+97716680055,4.2,70,USD,Available,https://www.peacefulcottage.com,100.0,Budget
Hotel View Point,Nagarkot,Nagarkot Nepal,27.7168,85.5198,+97716680300,4.3,85,USD,Available,https://www.hotelviewpointnagarkot.com,100.0,Mid Range
Everest Window View Hotel,Nagarkot,Nagarkot Nepal,27.718,85.522,+97716680400,4.0,60,USD,Available,https://www.everestwindowview.com,100.0,Budget
Hotel Country Villa Annex,Nagarkot,Nagarkot Nepal,27.7162,85.517,+97716680121,4.2,95,USD,Available,https://www.hotelcountryvilla.com,100.0,Mid Range
Summit Residency,Kathmandu,Gairidhara Kathmandu Nepal,27.714,85.32,+97714443333,4.1,70,USD,Available,https://www.summitresidency.com,100.0,Budget
Hotel Le Himalaya,Kathmandu,Lazimpat Kathmandu Nepal,27.72,85.3168,+97714004000,4.3,100,USD,Available,https://www.hotellehimalaya.com,100.0,Mid Range
Grand Hotel,Kathmandu,Solu Marg Kathmandu Nepal,27.699,85.291,+97714282482,4.2,90,USD,Available,https://www.grandhotelnepal.com,100.0,Mid Range
Airport Hotel Kathmandu,Kathmandu,Sinamangal Kathmandu Nepal,27.6965,85.355,+97714470400,4.0,75,USD,Available,https://www.airporthotelnepal.com,100.0,Budget
Hotel Meridian Suite,Kathmandu,Sinamangal Kathmandu Nepal,27.6968,85.354,+97714111111,4.1,65,USD,Available,https://www.meridiansuite.com,100.0,Budget
The Everest Hotel,Kathmandu,New Baneshwor Kathmandu Nepal,27.6905,85.3325,+97714780100,4.4,120,USD,Available,https://www.theeveresthotel.com.np,100.0,Mid Range
Shambala Heritage,Kathmandu,Lazimpat Kathmandu Nepal,27.7195,85.3165,+97714442222,4.3,85,USD,Available,https://www.shambalaheritage.com,100.0,Mid Range
Hotel Ambassador Kathmandu,Kathmandu,Lazimpat Kathmandu Nepal,27.72,85.318,+97714424900,4.2,90,USD,Available,https://www.hotelambassador.com.np,100.0,Mid Range
Royal Penguin Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.7155,85.3125,+97714701355,4.3,75,USD,Available,https://www.royalpenguin.com.np,100.0,Budget
Dalai-La Boutique Hotel,Kathmandu,Thamel Kathmandu Nepal,27.716,85.313,+97714701532,4.5,110,USD,Available,https://www.dalailaboutiquehotel.com,100.0,Mid Range
Hotel Arts Kathmandu,Kathmandu,Thamel Kathmandu Nepal,27.7157,85.3118,+97714700440,4.1,70,USD,Available,https://www.hotelartskathmandu.com,100.0,Budget
Hotel Nepalaya,Kathmandu,Thamel Kathmandu Nepal,27.715,85.3115,+97714700929,4.0,55,USD,Available,https://www.hotelnepalaya.com,100.0,Budget
Hotel Access Nepal,Kathmandu,Thamel Kathmandu Nepal,27.7149,85.3129,+97714700567,4.1,50,USD,Available,https://www.hotelaccessnepal.com,100.0,Budget
Hotel Family Home,Kathmandu,Thamel Kathmandu Nepal,27.7163,85.3124,+97714700987,4.0,45,USD,Available,https://www.hotelfamilyhome.com,100.0,Budget
Hotel Holy Himalaya,Kathmandu,Kamaladi Kathmandu Nepal,27.7105,85.3205,+97714221478,4.2,80,USD,Available,https://www.holyhimalaya.com,100.0,Mid Range
Kantipur Inn,Kathmandu,Thamel Kathmandu Nepal,27.7154,85.3135,+97714700500,4.0,60,USD,Available,https://www.kantipurinn.com,100.0,Budget
Hotel Himalaya House,Kathmandu,Thamel Kathmandu Nepal,27.7148,85.3126,+97714700555,4.1,65,USD,Available,https://www.himalayahouse.com,100.0,Budget
Hotel Pleasure Home,Kathmandu,Thamel Kathmandu Nepal,27.7157,85.3131,+97714700666,4.0,55,USD,Available,https://www.hotelpleasurehome.com,100.0,Budget
Hotel Blue Horizon,Kathmandu,Kantipath Kathmandu Nepal,27.713,85.319,+97714222040,4.1,70,USD,Available,https://www.hotelbluehorizon.com,100.0,Budget
Hotel Tibet International,Kathmandu,Boudha Kathmandu Nepal,27.7218,85.36,+97714488181,4.4,120,USD,Available,https://www.hoteltibetintl.com,100.0,Mid Range
Pema Boutique Hotel,Kathmandu,Boudha Kathmandu Nepal,27.7225,85.359,+97715911111,4.5,95,USD,Available,https://www.pemahotel.com,100.0,Mid Range
Hotel Vajra,Kathmandu,Swayambhu Kathmandu Nepal,27.715,85.29,+97714271545,4.3,100,USD,Available,https://www.hotelvajra.com,100.0,Mid Range
Swayambhu Peace Zone Hotel,Kathmandu,Swayambhu Kathmandu Nepal,27.714,85.288,+97714281111,4.0,60,USD,Available,https://www.peacezonehotel.com,100.0,Budget
Hotel Marshyangdi View,Kathmandu,Thamel Kathmandu Nepal,27.7152,85.3133,+97714700245,4.0,65,USD,Available,https://www.hotelmarshyangdi.com,100.0,Budget
The Life Story Guest House,Kathmandu,Patan Lalitpur Nepal,27.673,85.324,+97715533000,4.4,70,USD,Available,https://www.lifestoryguesthouse.com,100.0,Budget
The Begnas Lake Resort,Pokhara,Begnas Lake Pokhara Nepal,28.16,84.09,+97761560123,4.6,140,USD,Available,https://www.begnaslakeresort.com,100.0,Mid Range
Fish Tail Lodge Heritage,Pokhara,Lakeside Pokhara Nepal,28.214,83.9475,+97761465071,4.5,135,USD,Available,https://www.fishtail-lodge.com,100.0,Mid Range
Hotel Crystal Palace Inn,Pokhara,Lakeside Pokhara Nepal,28.2121,83.9569,+97761465456,4.1,65,USD,Available,https://www.crystalpalacepokhara.com,100.0,Budget
Hotel Trekkers Inn,Pokhara,Lakeside Pokhara Nepal,28.2112,83.9587,+97761464600,4.2,55,USD,Available,https://www.trekkersinn.com,100.0,Budget
Hotel Lake Shore,Pokhara,Lakeside Pokhara Nepal,28.2104,83.9572,+97761465333,4.4,90,USD,Available,https://www.lakeshorepokhara.com,100.0,Mid Range
Hotel Point,Pokhara,Lakeside Pokhara Nepal,28.211,83.9578,+97761465222,4.0,50,USD,Available,https://www.hotelpointpokhara.com,100.0,Budget
Hotel Snow Peak,Pokhara,Lakeside Pokhara Nepal,28.212,83.958,+97761463333,4.1,60,USD,Available,https://www.snowspeakpokhara.com,100.0,Budget
Hotel Golden Inn,Pokhara,Lakeside Pokhara Nepal,28.2109,83.9591,+97761462111,4.0,55,USD,Available,https://www.goldenninnpokhara.com,100.0,Budget
Hotel Orchid Garden,Pokhara,Lakeside Pokhara Nepal,28.2115,83.9566,+97761464444,4.2,75,USD,Available,https://www.orchidgardenpokhara.com,100.0,Budget
Lake View Resort,Pokhara,Lakeside Pokhara Nepal,28.2125,83.9585,+97761465888,4.3,85,USD,Available,https://www.lakeviewpokhara.com,100.0,Mid Range
Chitwan Safari Camp,Chitwan,Sauraha Chitwan Nepal,27.5818,84.4962,+97756580700,4.3,90,USD,Available,https://www.chitwansafaricamp.com,100.0,Mid Range
River Bank Jungle Resort,Chitwan,Sauraha Nepal,27.5795,84.4925,+97756580755,4.2,80,USD,Available,https://www.riverbankjungle.com,100.0,Mid Range
Wildlife Adventure Resort,Chitwan,Sauraha Nepal,27.5808,84.4948,+97756580777,4.4,100,USD,Available,https://www.wildlifeadventure.com,100.0,Mid Range
Jungle Safari Resort,Chitwan,Sauraha Nepal,27.581,84.495,+97756580888,4.1,70,USD,Available,https://www.junglesafariresort.com,100.0,Budget
Chitwan Village Resort,Chitwan,Sauraha Nepal,27.5822,84.4968,+97756580999,4.2,65,USD,Available,https://www.chitwanvillageresort.com,100.0,Budget
Sauraha Central Park Resort,Chitwan,Sauraha Nepal,27.5805,84.4932,+97756580111,4.3,85,USD,Available,https://www.centralparkresort.com,100.0,Mid Range
Chitwan Riverside Resort,Chitwan,Sauraha Nepal,27.5798,84.4918,+97756580222,4.1,75,USD,Available,https://www.chitwanriverside.com,100.0,Budget
Jungle Wildlife Camp,Chitwan,Sauraha Nepal,27.5817,84.4964,+97756580333,4.0,60,USD,Available,https://www.junglewildlifecamp.com,100.0,Budget
Elephant Safari Lodge,Chitwan,Sauraha Nepal,27.582,84.4945,+97756580444,4.2,80,USD,Available,https://www.elephantsafarilodge.com,100.0,Mid Range
Green Mansions Jungle Resort,Chitwan,Sauraha Nepal,27.58,84.493,+97756580555,4.4,110,USD,Available,https://www.greenmansions.com,100.0,Mid Range
Hotel Himalayan Horizon,Dhulikhel,Dhulikhel Kavre Nepal,27.622,85.543,+97711490500,4.3,95,USD,Available,https://www.himalayanhorizon.com,100.0,Mid Range
Dhulikhel Lodge Resort,Dhulikhel,Dhulikhel Kavre Nepal,27.625,85.54,+97711490700,4.2,80,USD,Available,https://www.dhulikhellodge.com,100.0,Mid Range
Dhulikhel Mountain Resort,Dhulikhel,Dhulikhel Nepal,27.6205,85.545,+97711490800,4.4,120,USD,Available,https://www.dhulikhelmountainresort.com,100.0,Mid Range
Mirabel Resort,Dhulikhel,Dhulikhel Nepal,27.6215,85.5425,+97711490900,4.1,75,USD,Available,https://www.mirabelresort.com,100.0,Budget
Gaia Holiday Home,Dhulikhel,Dhulikhel Nepal,27.624,85.541,+97711491000,4.3,70,USD,Available,https://www.gaiaholidayhome.com,100.0,Budget
Namo Buddha Resort,Dhulikhel,Namo Buddha Kavre Nepal,27.568,85.62,+97711401200,4.6,130,USD,Available,https://www.namobuddharesort.com,100.0,Mid Range
Himalayan Drishya Resort,Dhulikhel,Dhulikhel Nepal,27.62,85.5455,+97711490600,4.5,110,USD,Available,https://www.himalayandrishya.com,100.0,Mid Range
The Last Resort,Bhotekoshi,Bhotekoshi Nepal,27.95,85.95,+97714700525,4.5,150,USD,Available,https://www.thelastresort.com,100.0,Luxury
Borderlands Eco Adventure Resort,Sindhupalchok,Bhotekoshi Nepal,27.9505,85.96,+97714433999,4.4,120,USD,Available,https://www.borderland-resorts.com,100.0,Mid Range
Summit River Lodge,Bhotekoshi,Balephi Nepal,27.85,85.75,+97714425000,4.2,90,USD,Available,https://www.summitriverlodge.com,100.0,Mid Range
Hotel Everest View,Syangboche,Everest Region Nepal,27.96,86.82,+97738540026,4.6,250,USD,Available,https://www.hoteleverestview.com,100.0,Luxury
Yeti Mountain Home,Lukla,Lukla Solukhumbu Nepal,27.687,86.728,+97738540200,4.4,180,USD,Available,https://www.yetimountainhome.com,100.0,Luxury
Mountain Lodges Of Nepal,Namche Bazaar,Solukhumbu Nepal,27.805,86.71,+97714425000,4.7,220,USD,Available,https://www.mountainlodgesofnepal.com,100.0,Luxury
Hotel Sherwi Khangba,Namche Bazaar,Solukhumbu Nepal,27.8055,86.713,+97738540500,4.3,100,USD,Available,https://www.sherwikhangba.com,100.0,Mid Range
Khumbu Resort,Namche Bazaar,Solukhumbu Nepal,27.806,86.712,+97738540600,4.2,90,USD,Available,https://www.khumburesort.com,100.0,Mid Range
Hotel Peaceful Cottage,Bandipur,Bandipur Tanahun Nepal,27.936,84.406,+97765560400,4.4,85,USD,Available,https://www.peacefulcottagebandipur.com,100.0,Mid Range
The Old Inn,Bandipur,Bandipur Nepal,27.937,84.4065,+97765560500,4.5,120,USD,Available,https://www.theoldinnbandipur.com,100.0,Mid Range
Bandipur Mountain Resort,Bandipur,Bandipur Nepal,27.938,84.407,+97765560600,4.2,90,USD,Available,https://www.bandipurresort.com,100.0,Mid Range
Gaun Ghar,Bandipur,Bandipur Nepal,27.9365,84.4068,+97765560700,4.6,130,USD,Available,https://www.gaunghar.com,100.0,Mid Range
Bandipur Chhen,Bandipur,Bandipur Nepal,27.9375,84.4062,+97765560800,4.3,75,USD,Available,https://www.bandipurchhen.com,100.0,Budget
Hotel Riverside,Besisahar,Lamjung Nepal,28.232,84.372,+97766520400,4.0,60,USD,Available,https://www.riversidebesisahar.com,100.0,Budget
Lamjung Himalaya View,Lamjung,Lamjung Nepal,28.24,84.38,+97766520500,4.2,80,USD,Available,https://www.himalayaviewlamjung.com,100.0,Mid Range
Manaslu Guest House,Gorkha,Gorkha Nepal,28.0,84.633,+97764420500,4.1,65,USD,Available,https://www.mansaluguesthouse.com,100.0,Budget
Gorkha Gaun Resort,Gorkha,Gorkha Nepal,28.002,84.635,+97764420600,4.3,90,USD,Available,https://www.gorkhagaunresort.com,100.0,Mid Range
Barpak Village Resort,Gorkha,Barpak Nepal,28.2,84.75,+97764430700,4.5,100,USD,Available,https://www.barpakresort.com,100.0,Mid Range
Royal Mustang Resort,Mustang,Jomsom Mustang Nepal,28.78,83.73,+97769440500,4.4,140,USD,Available,https://www.royalmustangresort.com,100.0,Mid Range
Hotel Om'S Home,Mustang,Jomsom Nepal,28.7805,83.731,+97769440600,4.1,75,USD,Available,https://www.omshome.com,100.0,Budget
Mustang Eco Resort,Mustang,Muktinath Nepal,28.82,83.87,+97769440700,4.3,110,USD,Available,https://www.mustangecoresort.com,100.0,Mid Range
Muktinath Hotel,Muktinath,Muktinath Mustang Nepal,28.8205,83.8705,+97769440800,4.0,70,USD,Available,https://www.muktinathhotel.com,100.0,Budget
Jomsom Mountain Resort,Mustang,Jomsom Nepal,28.7802,83.7298,+97769440900,4.2,95,USD,Available,https://www.jomsomresort.com,100.0,Mid Range
Hotel Grand Shambala,Muktinath,Muktinath Nepal,28.819,83.871,+97769441000,4.3,100,USD,Available,https://www.grandshambala.com,100.0,Mid Range
Hotel Annapurna View,Dhulikhel,Dhulikhel Nepal,27.623,85.544,+97711490300,4.2,85,USD,Available,https://www.annapurnaviewhotel.com,100.0,Mid Range
Panauti Community Homestay,Panauti,Panauti Kavre Nepal,27.584,85.512,+97711440500,4.4,60,USD,Available,https://www.panautihomestay.com,100.0,Budget
Panauti Boutique Hotel,Panauti,Panauti Nepal,27.5835,85.513,+97711440600,4.1,70,USD,Available,https://www.panautiboutique.com,100.0,Budget
Indreni Suites,Kathmandu,Baneshwor Kathmandu Nepal,27.69,85.33,+97714787000,4.2,80,USD,Available,https://www.indrenisuites.com,100.0,Mid Range
Akama Hotel,Kathmandu,Dhumbarahi Kathmandu Nepal,27.718,85.35,+97715910000,4.4,100,USD,Available,https://www.akamahotel.com,100.0,Mid Range
Aloft Kathmandu Thamel,Kathmandu,Thamel Kathmandu Nepal,27.7148,85.3121,+97715252000,4.5,130,USD,Available,https://www.marriott.com,100.0,Mid Range
Dusit Thani Himalayan Resort,Dhulikhel,Dhulikhel Nepal,27.6225,85.5455,+97711490000,4.6,180,USD,Available,https://www.dusit.com,100.0,Luxury
Soaltee Westend Resort,Chitwan,Chitwan Nepal,27.56,84.42,+97756590500,4.5,150,USD,Available,https://www.soaltee.com,100.0,Luxury
Barahi Jungle Lodge Extension,Chitwan,Chitwan Nepal,27.6105,84.4505,+97756580500,4.7,180,USD,Available,https://www.barahijunglelodge.com,100.0,Luxury
