district,destination,missing
Mugu,Rara Lake Camping,restaurant (nearest 63 km)
Mugu,Rara Lake Trek,restaurant (nearest 63 km)
Mugu,Rara National Park Office,restaurant (nearest 63 km)
Mustang,Dhuk,hospital (nearest 55 km); bank (nearest 55 km)
Mustang,Garphu Cave,hospital (nearest 57 km); bank (nearest 57 km)
Mustang,Lo Manthang Gompas,hospital (nearest 50 km); bank (nearest 50 km)
Mustang,Lomangthang Hot Spring,hospital (nearest 54 km); bank (nearest 54 km)
Mustang,Nenyul,hospital (nearest 52 km); bank (nearest 52 km)
Mustang,Royal Summer Palace,hospital (nearest 52 km); bank (nearest 52 km)
Mustang,Thubchen Gompa (Lo Manthang),hospital (nearest 50 km); bank (nearest 50 km)
Mustang,Ticket Office and Café,hospital (nearest 56 km); bank (nearest 56 km)
Mustang,Tiji Festival (Lo Manthang),hospital (nearest 50 km); bank (nearest 50 km)
Mustang,Upper Mustang Trek,hospital (nearest 50 km)
Parsa,Birgunj,restaurant (nearest 58 km)
Parsa,Chhath (Terai),restaurant (nearest 61 km)
Parsa,Hotel Om Residency,restaurant (nearest 59 km)
Parsa,Shamjhana Hotel,restaurant (nearest 58 km)
Rautahat,Garuda Bazaar,hotel (nearest 61 km); restaurant (nearest 60 km)
Rautahat,Gaur,hotel (nearest 65 km); restaurant (nearest 69 km)
Rautahat,Rajdevi Mandir Gaur,hotel (nearest 65 km); restaurant (nearest 68 km)
Rolpa,Jaljala,restaurant (nearest 63 km)
Rolpa,Thawang,restaurant (nearest 63 km)
Saptari,Chhinnamasta,hotel (nearest 55 km); restaurant (nearest 55 km)
Saptari,"Deep Shajan Hotel & Lage Rajbiraj,Saptari",hotel (nearest 53 km); restaurant (nearest 53 km)
Saptari,Deep Shajan Hotel & Lodge,hotel (nearest 53 km); restaurant (nearest 53 km)
Saptari,Deluxe Star Hotel,hotel (nearest 53 km); restaurant (nearest 53 km)
Saptari,Nepal India Girl's hostel,hotel (nearest 53 km); restaurant (nearest 53 km)
Saptari,New Sagar Hotel & Lo,hotel (nearest 53 km); restaurant (nearest 53 km)
Saptari,Rajbiraj,hotel (nearest 53 km); restaurant (nearest 53 km)
Saptari,Rupani,restaurant (nearest 61 km)
Saptari,Star Hotel,hotel (nearest 53 km); restaurant (nearest 53 km)
Sarlahi,Barahathwa,hotel (nearest 55 km)
Sarlahi,Hariwan,hotel (nearest 51 km)
Sarlahi,Jankinagar jungle,hotel (nearest 53 km)
Siraha,Hotel Maruti,restaurant (nearest 62 km)
Siraha,Sukhipur,restaurant (nearest 51 km)
Taplejung,Corner camp Kunchenjunga,hospital (nearest 65 km); police (nearest 65 km); bank (nearest 65 km); restaurant (nearest 54 km)
Taplejung,Jannu Phaktanglung View Point,hospital (nearest 51 km); police (nearest 51 km); bank (nearest 51 km)
Taplejung,Kanchenjunga Base Camp Trek,hospital (nearest 52 km); police (nearest 52 km); bank (nearest 52 km)
Taplejung,Kanchenjunga Conservation Area,hospital (nearest 51 km); police (nearest 51 km); bank (nearest 51 km)
Taplejung,Syamjo: Bluesheep Habitat Area,hospital (nearest 62 km); police (nearest 62 km); bank (nearest 62 km); restaurant (nearest 51 km)
Udayapur,Karki Chowk,restaurant (nearest 68 km)
Udayapur,Triyuga River,restaurant (nearest 69 km)
