Place,Latitude,Longitude,District,accidents,landslide,avalanche,flood,earthquake_damage,Hospital,Police,Fire Station,Emergency_Risk,Natural_Disaster_Risk,Tourism_Risk_Index,Risk_Category
Badimalika Temple,29.1500,81.5000,Bajura,4,9,3,4,6,0,0,0,100,75,86.0,HIGH
Tansen Durbar,27.8670,83.5460,Palpa,1,2,0,3,5,10,8,2,25,30,28.0,LOW
Rani Mahal,27.8500,83.5500,Palpa,2,3,0,5,4,5,5,1,45,35,42.0,MEDIUM
Bungy Jumping The Last Resort,27.9500,85.9000,Sindhupalchok,6,8,0,4,6,1,2,1,70,60,64.0,HIGH
Bhote Koshi River Rafting,27.9500,85.8700,Sindhupalchok,7,9,0,6,5,1,2,1,65,70,67.0,HIGH
Panch Pokhari,28.0000,85.6200,Sindhupalchok,5,12,4,3,8,0,0,0,100,82,89.0,HIGH
Helambu Trek,28.0500,85.5500,Sindhupalchok,6,10,5,3,7,1,1,0,85,80,83.0,HIGH
Tsho Rolpa Lake,27.8500,86.4700,Dolakha,8,15,8,5,10,0,0,0,100,95,97.0,HIGH
Rolwaling Valley,27.8200,86.4200,Dolakha,7,14,10,3,9,0,0,0,100,96,98.0,HIGH
Jiri Everest Gateway,27.6300,86.2300,Dolakha,3,6,1,2,5,2,3,0,65,55,60.0,HIGH
Kyanjin Gompa,28.2100,85.5600,Rasuwa,6,14,6,2,8,0,1,0,90,88,89.0,HIGH
Tatopani Rasuwa,28.1300,85.3000,Rasuwa,3,7,0,6,5,2,2,1,55,50,52.0,MEDIUM
Gosainkunda Pass,28.0900,85.4100,Rasuwa,7,13,9,2,7,0,0,0,100,92,96.0,HIGH
Kakani Viewpoint,27.8200,85.2500,Nuwakot,1,3,0,2,4,8,5,1,35,35,35.0,MEDIUM
Trishuli River Rafting,27.9200,85.1500,Nuwakot,6,2,0,10,3,4,3,1,45,60,51.0,MEDIUM
Nuwakot Durbar,27.9100,85.1600,Nuwakot,1,2,0,2,7,5,5,2,40,30,34.0,MEDIUM
Ghalegaun,28.2500,84.4000,Lamjung,2,5,1,2,4,2,3,0,65,45,53.0,MEDIUM
Sikles Village,28.3700,84.1200,Kaski,3,8,2,2,5,1,1,0,85,60,75.0,HIGH
Kapuche Lake,28.5000,84.1000,Kaski,5,12,6,2,6,0,0,0,100,85,92.0,HIGH
Kori Danda,28.4800,84.2500,Kaski,4,9,5,2,5,0,0,0,100,75,86.0,HIGH
Ghandruk Village,28.3700,83.8100,Kaski,2,5,1,2,4,3,4,1,55,45,49.0,MEDIUM
Dhampus Village,28.3000,83.8200,Kaski,1,3,0,2,3,5,5,1,40,30,34.0,MEDIUM
Australian Camp,28.3200,83.8000,Kaski,2,4,1,1,3,4,3,1,45,35,40.0,MEDIUM
Tatopani Myagdi,28.5400,83.6700,Myagdi,3,8,0,7,4,2,2,0,70,60,66.0,HIGH
Ghorepani Village,28.4000,83.6900,Myagdi,2,6,2,2,3,2,2,0,75,50,62.0,HIGH
Kali Gandaki Gorge,28.7000,83.6000,Mustang,5,10,5,3,6,0,1,0,90,80,86.0,HIGH
Marpha Village,28.7500,83.6900,Mustang,1,4,1,3,3,2,3,0,65,40,55.0,MEDIUM
Jomsom,28.7800,83.7200,Mustang,4,5,3,2,4,3,3,1,60,55,57.0,MEDIUM
Lo Manthang,29.1800,83.9500,Mustang,2,3,2,1,4,0,0,0,100,45,75.0,HIGH
Damodar Kunda,29.0700,83.9000,Mustang,5,10,8,2,7,0,0,0,100,90,95.0,HIGH
Muktinath Pass,28.8200,83.8700,Mustang,4,7,5,2,5,1,1,0,85,70,80.0,HIGH
Barpak Village,28.2200,84.7500,Gorkha,4,10,2,2,8,1,1,0,90,75,84.0,HIGH
Laprak Village,28.2800,84.7700,Gorkha,3,8,3,2,6,0,1,0,95,70,82.0,HIGH
Tsum Valley,28.5300,84.8500,Gorkha,6,14,6,2,9,0,0,0,100,95,98.0,HIGH
Chum Valley,28.6000,84.9000,Gorkha,5,12,5,3,8,0,0,0,100,88,94.0,HIGH
Gorkha Durbar,28.0000,84.6300,Gorkha,1,2,0,2,6,5,5,1,35,30,32.0,MEDIUM
Manakamana Temple,27.9500,84.5800,Gorkha,2,4,0,4,5,8,6,2,35,40,38.0,MEDIUM
Bandipur,27.9400,84.4100,Tanahun,1,3,0,3,4,10,8,2,30,30,30.0,LOW
Siddha Cave,27.9300,84.4200,Tanahun,2,2,0,2,3,6,5,1,40,25,32.0,MEDIUM
Maula Kalika Temple,27.6800,84.4300,Nawalpur,1,1,0,5,3,10,8,2,30,25,28.0,LOW
Devghat Dham,27.9200,84.4000,Tanahun,1,0,0,4,3,15,10,2,20,20,20.0,LOW
Palpa Shreenagar Hill,27.8700,83.5500,Palpa,1,2,0,2,4,7,5,1,40,30,34.0,MEDIUM
Rani Mahal Palace,27.8500,83.5500,Palpa,2,3,0,4,4,5,5,1,45,40,43.0,MEDIUM
Bhairahawa Buddha Sites,27.5100,83.4500,Rupandehi,0,0,0,3,2,20,15,5,10,15,18.0,LOW
Tilaurakot,27.5700,83.0500,Kapilvastu,0,1,0,2,2,10,8,2,25,15,23.0,LOW
Jagadishpur Reservoir,27.5500,83.0000,Kapilvastu,1,0,0,8,2,5,5,1,45,35,42.0,MEDIUM
Khopra Ridge,28.4300,83.7400,Myagdi,7,12,8,2,6,0,0,0,90,78,82.0,HIGH
Muldai View Point,28.5000,83.7500,Myagdi,4,8,4,2,5,5,3,1,65,60,65.0,MEDIUM
Mohan Pokhari,27.9500,84.0000,Tanahun,1,2,0,5,3,40,30,10,10,20,25.0,LOW
Sundarijal Waterfall,27.7900,85.4300,Kathmandu,2,5,0,4,4,90,80,25,5,30,32.0,LOW
Kirtipur Heritage Area,27.6700,85.2800,Kathmandu,1,0,0,2,5,100,90,30,5,15,22.0,LOW
Chandragiri Hills,27.6800,85.2400,Kathmandu,2,3,0,3,4,100,80,30,5,20,25.0,LOW
Phulchoki Hill,27.5800,85.4100,Lalitpur,3,5,0,4,5,70,60,20,15,35,38.0,LOW
Godavari Botanical Garden,27.5900,85.3900,Lalitpur,1,1,0,4,3,80,60,25,5,15,20.0,LOW
Nuwakot Durbar,27.9200,85.1700,Nuwakot,2,4,0,3,8,40,30,10,15,40,42.0,MEDIUM
Kakani View Point,27.8000,85.2800,Nuwakot,2,5,0,3,5,50,35,10,15,35,40.0,LOW
Tatopani Sindhupalchok,27.9500,85.9700,Sindhupalchok,6,12,2,8,8,20,20,5,45,65,65.0,MEDIUM
Bhairav Kunda,28.0100,85.8200,Sindhupalchok,8,15,5,4,10,0,0,0,100,90,88.0,HIGH
Jiri Valley,27.6300,86.2400,Dolakha,4,8,2,3,6,25,20,5,40,55,55.0,MEDIUM
Sailung,27.7700,86.2600,Dolakha,10,15,8,3,8,0,0,0,100,85,84.0,HIGH
Namche Bazaar,27.8050,86.7100,Solukhumbu,15,10,12,1,7,0,5,0,90,80,85.0,HIGH
Gokyo Lake,27.9500,86.6900,Solukhumbu,18,15,15,1,8,0,0,0,100,95,92.0,HIGH
Chhukung Valley,27.9000,86.8500,Solukhumbu,20,18,18,1,10,0,0,0,100,100,98.0,HIGH
Pikey Peak,27.6500,86.5000,Solukhumbu,8,10,6,2,7,5,5,2,70,70,72.0,HIGH
Tinjure Milke Jaljale,27.2000,87.5500,Tehrathum,6,10,5,3,7,10,10,3,65,65,68.0,MEDIUM
Mai Pokhari,27.0100,87.9200,Ilam,1,2,0,5,2,40,30,10,5,20,25.0,LOW
Sandakpur,27.0500,87.8800,Ilam,5,8,5,2,5,10,10,2,60,60,65.0,MEDIUM
Antu Danda,26.8700,88.0500,Ilam,1,2,0,3,2,40,30,10,5,15,20.0,LOW
Pathibhara View Area,27.3500,87.7300,Taplejung,10,12,8,2,7,5,5,2,75,75,75.0,HIGH
Mai Valley,27.0000,87.8500,Ilam,2,4,0,5,3,30,20,5,15,30,32.0,LOW
Halesi Mahadev,27.3200,86.6500,Khotang,2,3,0,4,5,30,25,5,20,30,35.0,LOW
Amai Rural Trail,27.4000,86.9000,Bhojpur,7,10,4,2,6,5,5,2,65,60,65.0,MEDIUM
Silichung Base Area,27.7000,87.1000,Sankhuwasabha,15,18,15,2,9,0,0,0,100,95,93.0,HIGH
Makalu Barun Park,27.7500,87.1000,Sankhuwasabha,18,20,18,3,10,0,0,0,100,100,97.0,HIGH
Tinjure Hill,27.2100,87.5500,Tehrathum,4,7,3,2,5,10,10,3,60,55,60.0,MEDIUM
Dhorpatan Valley,28.5200,83.0000,Baglung,12,15,8,4,8,5,5,2,75,85,82.0,HIGH
Panchase Hill,28.2500,83.8500,Kaski,2,5,0,3,4,50,30,10,15,30,35.0,LOW
Begnas Rupakot Area,28.1700,84.0800,Kaski,2,3,0,8,3,60,40,15,10,30,32.0,LOW
Kahu Danda,28.2400,84.0000,Kaski,1,3,0,3,3,70,50,20,5,20,25.0,LOW
Sikles Trek Route,28.3800,84.1500,Kaski,5,8,3,3,5,10,5,2,55,60,62.0,MEDIUM
Lamachaur View Area,28.2700,84.0000,Kaski,1,2,0,3,3,80,60,20,5,15,20.0,LOW
Narchyang Village,28.5600,83.6500,Myagdi,10,15,8,2,7,0,0,0,90,85,85.0,HIGH
Mudi Village,28.6000,83.5000,Myagdi,8,12,6,3,7,0,0,0,90,80,82.0,HIGH
Lete Village,28.6500,83.6200,Mustang,6,8,5,2,6,5,5,2,70,65,70.0,HIGH
Kagbeni,28.8300,83.7800,Mustang,4,5,3,2,5,10,10,3,60,55,60.0,MEDIUM
Muktinath,28.8200,83.8700,Mustang,3,4,2,1,4,20,15,5,40,45,45.0,MEDIUM
Tatopani Myagdi,28.5000,83.6000,Myagdi,5,7,2,10,5,20,15,5,45,55,55.0,MEDIUM
Kushma Bridge,28.2200,83.6900,Parbat,1,2,0,5,3,40,30,10,10,20,25.0,LOW
Ghandruk Village,28.3700,83.8100,Kaski,3,6,2,3,4,20,15,5,30,45,45.0,MEDIUM
Dhampus Village,28.3200,83.8200,Kaski,1,3,0,3,3,50,40,10,10,25,30.0,LOW
Australian Camp Trail,28.3400,83.8200,Kaski,2,4,0,3,3,40,30,10,15,25,30.0,LOW
Nuwakot Durbar,27.9200,85.1700,Nuwakot,2,4,0,3,8,40,30,10,15,40,42.0,MEDIUM
Kakani View Point,27.8000,85.2800,Nuwakot,2,5,0,3,5,50,35,10,15,35,40.0,LOW
Sundarijal Waterfall,27.7900,85.4300,Kathmandu,2,5,0,4,4,90,80,25,5,30,32.0,LOW
Shivapuri National Park,27.8200,85.4000,Kathmandu,3,5,0,2,5,80,70,20,10,30,35.0,LOW
Kirtipur Heritage Area,27.6700,85.2800,Kathmandu,1,0,0,2,5,100,90,30,5,15,22.0,LOW
Bhaktapur Durbar Square,27.6720,85.4300,Bhaktapur,1,0,0,3,7,100,90,30,5,20,25.0,LOW
Patan Durbar Square,27.6730,85.3250,Lalitpur,1,0,0,2,7,100,90,30,5,20,25.0,LOW
Kathmandu Durbar Square,27.7040,85.3070,Kathmandu,2,0,0,3,8,100,90,30,5,25,30.0,LOW
Chisapani Village,27.8200,85.3500,Kathmandu,3,6,0,3,5,40,30,10,20,35,38.0,LOW
Nagarkot View Tower,27.7150,85.5200,Bhaktapur,2,3,0,4,5,70,60,20,10,25,30.0,LOW
Dhulikhel,27.6200,85.5500,Kavre,1,2,0,3,5,60,50,15,10,25,28.0,LOW
Kushma Bridge,28.2200,83.6900,Parbat,1,2,0,5,3,40,30,10,10,20,25.0,LOW
Panchase Hill,28.2500,83.8500,Kaski,2,5,0,3,4,50,30,10,15,30,35.0,LOW
Begnas Lake,28.1500,84.1000,Kaski,2,1,0,10,3,60,40,15,10,35,35.0,LOW
Rupakot View Tower,28.1700,84.0800,Kaski,1,2,0,5,3,50,35,10,10,25,30.0,LOW
Sikles Village,28.3800,84.1500,Kaski,5,8,3,3,5,10,5,2,55,60,62.0,MEDIUM
Ghale Gaun,28.2500,84.3700,Lamjung,2,4,0,4,5,25,15,5,20,35,38.0,LOW
Bhujung Village,28.2200,84.3500,Lamjung,3,5,0,4,5,20,15,5,30,40,45.0,MEDIUM
Dordi Valley,28.3000,84.4500,Lamjung,6,10,4,3,7,5,5,2,65,70,72.0,HIGH
Taal Village,28.5200,84.4000,Manang,10,15,8,3,8,0,0,0,100,85,85.0,HIGH
Nar Phu Valley,28.8000,84.1500,Manang,15,20,15,2,10,0,0,0,100,100,95.0,HIGH
Khangsar Village,28.6500,84.0300,Manang,10,14,10,2,8,0,0,0,100,85,85.0,HIGH
Ngawal Village,28.6700,84.0500,Manang,6,10,5,2,7,5,5,2,70,70,72.0,HIGH
Pisangkang Village,28.6100,84.0800,Manang,8,12,7,3,8,0,0,0,100,80,82.0,HIGH
Marpha Village,28.7500,83.6900,Mustang,2,4,3,1,5,20,15,5,40,45,45.0,MEDIUM
Kagbeni Village,28.8300,83.7800,Mustang,4,5,3,2,5,10,10,3,60,55,60.0,MEDIUM
Muktinath Temple,28.8200,83.8700,Mustang,3,4,2,1,4,20,15,5,40,45,45.0,MEDIUM
Lomanthang,29.1800,83.9600,Mustang,5,7,6,1,5,0,0,0,100,65,72.0,HIGH
Tukuche Village,28.6800,83.6500,Mustang,4,7,4,2,6,5,5,2,65,65,65.0,MEDIUM
Tatopani Myagdi,28.5000,83.6000,Myagdi,5,7,2,10,5,20,15,5,45,55,55.0,MEDIUM
Narchyang Village,28.5600,83.6500,Myagdi,10,15,8,2,7,0,0,0,90,85,85.0,HIGH
Mudi Village,28.6000,83.5000,Myagdi,8,12,6,3,7,0,0,0,90,80,82.0,HIGH
Dhorpatan Reserve,28.5200,83.0000,Baglung,12,15,8,4,8,5,5,2,75,85,82.0,HIGH
Taman Khola,28.6500,83.1000,Baglung,8,12,5,3,7,0,0,0,90,75,78.0,HIGH
Baglung Kalika Temple,28.2700,83.5900,Baglung,2,4,0,4,4,40,30,10,15,25,30.0,LOW
Galeshwor Temple,28.3600,83.5500,Myagdi,2,3,0,5,4,30,25,5,20,30,35.0,LOW
Jaljala Rural Trail,28.3500,83.5000,Parbat,5,8,3,3,5,5,5,2,60,60,62.0,MEDIUM
Kusma Bazaar,28.2150,83.6800,Parbat,1,2,0,4,3,50,40,15,5,20,25.0,LOW
Syangja Panchamul,28.0000,83.8500,Syangja,2,3,0,5,3,50,35,10,10,25,30.0,LOW
Syangja Sirubari,28.0500,83.7500,Syangja,1,3,0,3,3,40,30,10,10,20,25.0,LOW
Tansen Srinagar Hill,27.8700,83.5400,Palpa,1,2,0,3,3,50,40,15,5,20,25.0,LOW
Rani Mahal,27.8500,83.5400,Palpa,1,1,0,8,3,40,35,10,5,30,30.0,LOW
Gulmi Resunga Hill,28.0700,83.2500,Gulmi,2,4,0,3,5,30,25,10,15,30,35.0,LOW
Arghakhanchi Supa Deurali,27.9700,83.1200,Arghakhanchi,2,3,0,3,4,30,25,10,15,25,30.0,LOW
Swargadwari Temple,28.0600,82.8000,Pyuthan,3,5,0,3,5,20,20,5,25,35,42.0,MEDIUM
Rolpa Jaljala,28.4200,82.6500,Rolpa,10,15,5,3,9,0,0,0,100,85,85.0,HIGH
Rukum East Putha,28.7000,82.6000,Rukum East,15,18,10,2,10,0,0,0,100,95,92.0,HIGH
Dolpa Dunai,29.0000,82.8300,Dolpa,12,15,10,2,8,0,0,0,100,85,85.0,HIGH
Phoksundo Village,29.2200,82.9600,Dolpa,10,18,12,3,8,0,0,0,100,90,88.0,HIGH
Khumjung Village,27.8300,86.7300,Solukhumbu,4,8,6,1,5,0,1,0,90,70,78.0,HIGH
Dingboche Village,27.8900,86.8300,Solukhumbu,7,10,9,1,6,0,0,0,100,85,91.0,HIGH
Imja Lake,27.9000,86.9300,Solukhumbu,6,14,12,3,8,0,0,0,100,95,97.0,HIGH
Ama Dablam Base Camp,27.8600,86.8600,Solukhumbu,8,12,10,1,7,0,0,0,100,92,95.0,HIGH
Pikey Peak,27.6500,86.5000,Solukhumbu,3,7,5,2,5,0,1,0,90,65,75.0,HIGH
Thame Village,27.9500,86.7100,Solukhumbu,5,9,7,2,6,0,0,0,100,78,89.0,HIGH
Mera Peak Base Camp,27.7000,86.9200,Solukhumbu,9,15,13,1,8,0,0,0,100,98,99.0,HIGH
Makalu Base Camp,27.7500,87.1000,Sankhuwasabha,8,16,14,2,9,0,0,0,100,100,100.0,HIGH
Kanchenjunga Base Camp,27.7000,88.0000,Taplejung,10,18,15,3,10,0,0,0,100,100,100.0,HIGH
Milke Danda,27.3500,87.5000,Tehrathum,3,8,4,3,5,1,1,0,85,65,73.0,HIGH
Mai Pokhari,26.9000,87.9300,Ilam,1,4,0,5,3,8,5,1,35,35,35.0,MEDIUM
Kanyam Tea Garden,26.8600,88.0000,Ilam,1,2,0,3,2,10,7,2,30,25,28.0,LOW
Sandakpur,26.8800,87.9000,Ilam,3,6,2,3,4,2,2,0,70,55,61.0,MEDIUM
Tinjure Milke Jaljale,27.2500,87.4500,Tehrathum,4,10,5,2,6,0,1,0,90,75,81.0,HIGH
Pathibhara Lake,27.4200,87.7500,Taplejung,5,11,6,2,7,0,1,0,90,85,87.0,HIGH
Mai Valley,26.9500,87.8500,Ilam,2,3,0,4,3,5,4,1,45,30,36.0,MEDIUM
Dharan Clock Tower,26.8100,87.2800,Sunsari,0,0,0,2,2,20,15,5,10,10,10.0,LOW
Budha Subba Temple,26.8100,87.2700,Sunsari,1,1,0,2,2,15,12,3,20,15,18.0,LOW
Bhedetar View Point,26.8800,87.3000,Dhankuta,2,4,0,3,4,8,5,1,40,35,37.0,MEDIUM
Hile Bazaar,26.9900,87.3200,Dhankuta,1,2,0,3,3,10,8,2,30,25,28.0,LOW
Namaste Falls,27.0000,87.3500,Dhankuta,2,5,0,5,3,5,4,1,50,40,44.0,MEDIUM
Pakhribas Botanical Garden,27.0400,87.2900,Dhankuta,1,2,0,2,2,8,6,1,35,20,26.0,LOW
Hatuwa Danda,27.2500,87.2500,Bhojpur,3,7,2,3,5,1,1,0,85,60,70.0,HIGH
Salpa Pokhari,27.3500,86.9500,Bhojpur,5,10,4,2,7,0,0,0,100,80,88.0,HIGH
Silichung Peak,27.5000,87.0500,Sankhuwasabha,8,15,10,2,8,0,0,0,100,95,97.0,HIGH
Num Village,27.5500,87.2500,Sankhuwasabha,4,8,3,3,6,1,1,0,90,65,75.0,HIGH
Barun Valley,27.7500,87.1500,Sankhuwasabha,7,14,11,2,9,0,0,0,100,95,97.0,HIGH
Tumlingtar Airport,27.3000,87.1900,Sankhuwasabha,2,3,0,3,3,5,5,2,45,30,36.0,MEDIUM
Halesi Cave,27.3200,86.7200,Khotang,3,4,0,2,5,4,5,1,50,40,44.0,MEDIUM
Diktel Bazaar,27.2100,86.7900,Khotang,1,3,0,3,4,8,6,2,35,30,33.0,MEDIUM
Aiselukharka,27.3500,86.8500,Khotang,2,6,1,3,5,2,2,0,70,55,61.0,MEDIUM
Okhaldhunga Bazaar,27.3200,86.5000,Okhaldhunga,1,4,0,3,4,5,5,1,45,35,39.0,MEDIUM
Tholodunga,27.4200,86.6000,Okhaldhunga,3,8,3,2,6,0,1,0,90,70,78.0,HIGH
Jiri Lake,27.6300,86.2300,Dolakha,2,6,2,3,5,3,3,1,65,50,56.0,MEDIUM
Charikot View Tower,27.6700,86.0500,Dolakha,1,3,0,2,5,6,5,1,40,30,34.0,MEDIUM
Kalinchowk Bhagwati,27.9500,86.0500,Dolakha,5,9,6,2,7,1,1,0,85,80,82.0,HIGH
Chekampar Village,28.6200,84.8500,Gorkha,6,13,7,2,9,0,0,0,100,95,97.0,HIGH
Rubina La Pass,28.6500,84.8000,Gorkha,8,15,12,1,10,0,0,0,100,100,100.0,HIGH
Larke Pass,28.7500,84.6000,Gorkha,10,18,15,2,10,0,0,0,100,100,100.0,HIGH
Samagaun,28.6000,84.6500,Gorkha,5,12,8,2,8,0,0,0,100,90,96.0,HIGH
Birendra Lake,28.6500,84.6200,Gorkha,4,10,7,2,7,0,0,0,100,85,91.0,HIGH
Dunai Bazaar,29.0000,82.8300,Dolpa,8,12,5,2,8,0,0,0,100,75,80.0,HIGH
Tripurakot Temple,29.0500,82.9500,Dolpa,3,5,0,3,5,0,0,0,90,55,65.0,MEDIUM
Juphal Airport Area,29.2700,82.1900,Dolpa,4,5,0,3,4,10,10,5,60,50,55.0,MEDIUM
Rukumkot Lake,28.6300,82.4800,Rukum East,8,10,5,3,7,5,5,2,70,70,72.0,HIGH
Sisne Himal Base Area,28.7300,82.5500,Rukum East,14,18,12,2,9,0,0,0,100,95,92.0,HIGH
Jajarkot Darbar Area,28.7000,82.1800,Jajarkot,4,6,0,5,8,20,20,5,45,60,62.0,MEDIUM
Khalanga Jajarkot,28.7000,82.1800,Jajarkot,3,5,0,5,8,25,20,5,40,60,60.0,MEDIUM
Ramaroshan Lake,29.1000,81.2000,Achham,5,8,0,8,5,10,10,3,55,60,65.0,MEDIUM
Badimalika Temple,29.4200,81.4200,Bajura,12,15,8,3,8,0,0,0,100,85,86.0,HIGH
Budhinanda Lake,29.5000,81.4300,Bajura,10,14,7,2,7,0,0,0,100,80,82.0,HIGH
Khaptad Ashram,29.3200,81.1500,Doti,3,5,0,6,4,15,20,5,40,50,55.0,MEDIUM
Aadhi Khola Trail,28.0500,83.9000,Syangja,2,3,0,5,3,30,25,10,10,25,30.0,LOW
Panchase Rural Trail,28.2500,83.8500,Kaski,2,5,0,3,4,50,30,10,15,30,35.0,LOW
Kahule Village,28.3000,83.9000,Kaski,2,4,0,3,4,40,30,10,15,30,35.0,LOW
Lamachaur View Point,28.2700,84.0000,Kaski,1,2,0,3,3,80,60,20,5,15,20.0,LOW
Sarangkot,28.2100,83.9500,Kaski,2,3,0,4,4,70,60,20,10,25,30.0,LOW
World Peace Pagoda,28.1900,83.9400,Kaski,1,2,0,5,4,70,50,15,10,25,30.0,LOW
Pumdikot View Tower,28.1600,83.9000,Kaski,2,3,0,3,3,60,50,15,10,20,25.0,LOW
